value	label
JPM-H	JPM-H
JPM-J	JPM-J
JPS	JPS
JPT	JPT
JQC	JQC
JRI	JRI
JRO	JRO
JRS	JRS
JSD	JSD
JT	JT
JTA	JTA
JTD	JTD
JW.A	JW.A
JW.B	JW.B
JWN	JWN
JWS.U	JWS.U
K	K
KAI	KAI
KAMN	KAMN
KAR	KAR
KB	KB
KBH	KBH
KBR	KBR
KDMN	KDMN
KDP	KDP
KEM	KEM
KEN	KEN
KEP	KEP
KEX	KEX
KEY	KEY
KEY-I	KEY-I
KEY-J	KEY-J
KEY-K	KEY-K
KEYS	KEYS
KF	KF
KFS	KFS
KFY	KFY
KGC	KGC
KIM	KIM
KIM-L	KIM-L
KIM-M	KIM-M
KIO	KIO
KKR	KKR
KKR-A	KKR-A
KKR-B	KKR-B
KL	KL
KMB	KMB
KMF	KMF
KMI	KMI
KMPR	KMPR
KMT	KMT
KMX	KMX
KN	KN
KNL	KNL
KNOP	KNOP
KNX	KNX
KO	KO
KODK	KODK
KOF	KOF
KOP	KOP
KOS	KOS
KR	KR
KRA	KRA
KRC	KRC
KREF	KREF
KRG	KRG
KRO	KRO
KRP	KRP
KSM	KSM
KSS	KSS
KSU	KSU
KSU.P	KSU.P
KT	KT
KTB	KTB
KTF	KTF
KTH	KTH
KTN	KTN
KW	KW
KWR	KWR
KYN	KYN
L	L
LAC	LAC
LAD	LAD
LADR	LADR
LAIX	LAIX
LAZ	LAZ
LB	LB
LBRT	LBRT
LC	LC
LCI	LCI
LCII	LCII
LDL	LDL
LDOS	LDOS
LDP	LDP
LEA	LEA
LEAF	LEAF
LEE	LEE
LEG	LEG
LEJU	LEJU
LEN	LEN
LEN.B	LEN.B
LEO	LEO
LEVI	LEVI
LFC	LFC
LGC	LGC
LGC.U	LGC.U
LGC.W	LGC.W
LGF.A	LGF.A
LGF.B	LGF.B
LGI	LGI
LGV.U	LGV.U
LH	LH
LHC	LHC
LHC.U	LHC.U
LHC.W	LHC.W
LHX	LHX
LII	LII
LIN	LIN
LINX	LINX
LITB	LITB
LL	LL
LLY	LLY
LM	LM
LMHA	LMHA
LMHB	LMHB
LMT	LMT
LN	LN
LNC	LNC
LND	LND
LNN	LNN
LOA.U	LOA.U
LOA.W	LOA.W
LOAK	LOAK
LOMA	LOMA
LOW	LOW
LPG	LPG
LPI	LPI
LPL	LPL
LPX	LPX
LRN	LRN
LSI	LSI
LTC	LTC
LTHM	LTHM
LTM	LTM
LUB	LUB
LUV	LUV
LVS	LVS
LW	LW
LXFR	LXFR
LXP	LXP
LXP-C	LXP-C
LXU	LXU
LYB	LYB
LYG	LYG
LYV	LYV
LZB	LZB
M	M
MA	MA
MAA	MAA
MAA-I	MAA-I
MAC	MAC
MAIN	MAIN
MAN	MAN
MANU	MANU
MAS	MAS
MATX	MATX
MAV	MAV
MAXR	MAXR
MBI	MBI
MBT	MBT
MC	MC
MCA	MCA
MCB	MCB
MCC	MCC
MCD	MCD
MCI	MCI
MCK	MCK
MCN	MCN
MCO	MCO
MCR	MCR
MCS	MCS
MCV	MCV
MCX	MCX
MCY	MCY
MD	MD
MDC	MDC
MDLA	MDLA
MDLQ	MDLQ
MDLX	MDLX
MDLY	MDLY
MDP	MDP
MDT	MDT
MDU	MDU
MEC	MEC
MED	MED
MEI	MEI
MEN	MEN
MER-K	MER-K
MET	MET
MET-A	MET-A
MET-E	MET-E
MET-F	MET-F
MFA	MFA
MFA-B	MFA-B
MFA-C	MFA-C
MFA.U	MFA.U
MFA.W	MFA.W
MFAC	MFAC
MFC	MFC
MFD	MFD
MFG	MFG
MFGP	MFGP
MFL	MFL
MFM	MFM
MFO	MFO
MFT	MFT
MFV	MFV
MG	MG
MGA	MGA
MGF	MGF
MGM	MGM
MGP	MGP
MGR	MGR
MGU	MGU
MGY	MGY
MH-A	MH-A
MH-C	MH-C
MH-D	MH-D
MHD	MHD
MHE	MHE
MHF	MHF
MHI	MHI
MHK	MHK
MHLA	MHLA
MHN	MHN
MHNC	MHNC
MHO	MHO
MIC	MIC
MIE	MIE
MIN	MIN
MIT-A	MIT-A
MIT-B	MIT-B
MIT-C	MIT-C
MITT	MITT
MIXT	MIXT
MIY	MIY
MKC	MKC
MKC.V	MKC.V
MKL	MKL
MLI	MLI
MLM	MLM
MLP	MLP
MLR	MLR
MMC	MMC
MMD	MMD
MMI	MMI
MMM	MMM
MMP	MMP
MMS	MMS
MMT	MMT
MMU	MMU
MN	MN
MNE	MNE
MNK	MNK
MNP	MNP
MNR	MNR
MNR-C	MNR-C
MNRL	MNRL
MO	MO
MOD	MOD
MODN	MODN
MOG.A	MOG.A
MOG.B	MOG.B
MOGU	MOGU
MOH	MOH
MOS	MOS
MOV	MOV
MPA	MPA
MPC	MPC
MPLX	MPLX
MPV	MPV
MPW	MPW
MPX	MPX
MQT	MQT
MQY	MQY
MR	MR
MRC	MRC
MRK	MRK
MRO	MRO
MS	MS
MS-A	MS-A
MS-E	MS-E
MS-F	MS-F
MS-I	MS-I
MS-K	MS-K
MS-L	MS-L
MSA	MSA
MSB	MSB
MSC	MSC
MSCI	MSCI
MSD	MSD
MSGE	MSGE
MSGN	MSGN
MSGS	MSGS
MSI	MSI
MSM	MSM
MT	MT
MTB	MTB
MTCN	MTCN
MTD	MTD
MTDR	MTDR
MTG	MTG
MTH	MTH
MTL	MTL
MTL.P	MTL.P
MTN	MTN
MTOR	MTOR
MTR	MTR
MTRN	MTRN
MTT	MTT
MTW	MTW
MTX	MTX
MTZ	MTZ
MUA	MUA
MUC	MUC
MUE	MUE
MUFG	MUFG
MUH	MUH
MUI	MUI
MUJ	MUJ
MUR	MUR
MUS	MUS
MUSA	MUSA
MUX	MUX
MVC	MVC
MVCD	MVCD
MVF	MVF
MVO	MVO
MVT	MVT
MWA	MWA
MX	MX
MXE	MXE
MXF	MXF
MXL	MXL
MYC	MYC
MYD	MYD
MYE	MYE
MYF	MYF
MYI	MYI
MYJ	MYJ
MYN	MYN
MYOV	MYOV
MZA	MZA
NAC	NAC
NAD	NAD
NAN	NAN
NAT	NAT
NAV	NAV
NAV-D	NAV-D
NAZ	NAZ
NBB	NBB
NBHC	NBHC
NBR	NBR
NBR-A	NBR-A
NC	NC
NCA	NCA
NCB	NCB
NCLH	NCLH
NCR	NCR
NCV	NCV
NCV-A	NCV-A
NCZ	NCZ
NCZ-A	NCZ-A
NDP	NDP
NE	NE
NEA	NEA
NEE	NEE
NEE-I	NEE-I
NEE-J	NEE-J
NEE-K	NEE-K
NEE-N	NEE-N
NEE-O	NEE-O
NEE-P	NEE-P
NEM	NEM
NEP	NEP
NET	NET
NEU	NEU
NEV	NEV
NEW	NEW
NEWR	NEWR
NEX	NEX
NEXA	NEXA
NFG	NFG
NFH	NFH
NFH.W	NFH.W
NFJ	NFJ
NGG	NGG
NGL	NGL
NGL-A	NGL-A
NGL-B	NGL-B
NGL-C	NGL-C
NGS	NGS
NGVC	NGVC
NGVT	NGVT
NHA	NHA
NHF	NHF
NHI	NHI
NI	NI
NI-B	NI-B
NID	NID
NIE	NIE
NIM	NIM
NINE	NINE
NIO	NIO
NIQ	NIQ
NJR	NJR
NJV	NJV
NKE	NKE
NKG	NKG
NKX	NKX
NL	NL
NLS	NLS
NLSN	NLSN
NLY	NLY
NLY-D	NLY-D
NLY-F	NLY-F
NLY-G	NLY-G
NLY-I	NLY-I
NM	NM
NM-G	NM-G
NM-H	NM-H
NMCO	NMCO
NMFC	NMFC
NMFX	NMFX
NMI	NMI
NMK-B	NMK-B
NMK-C	NMK-C
NMM	NMM
NMR	NMR
NMS	NMS
NMT	NMT
NMY	NMY
NMZ	NMZ
NNA	NNA
NNI	NNI
NNN	NNN
NNN-F	NNN-F
NNY	NNY
NOA	NOA
NOAH	NOAH
NOC	NOC
NOK	NOK
NOM	NOM
NOMD	NOMD
NOV	NOV
NOVA	NOVA
NOW	NOW
NP	NP
NPK	NPK
NPN	NPN
NPO	NPO
NPTN	NPTN
NPV	NPV
NQP	NQP
NR	NR
NREF	NREF
NRG	NRG
NRGX	NRGX
NRK	NRK
NRP	NRP
NRT	NRT
NRUC	NRUC
NRZ	NRZ
NRZ-A	NRZ-A
NRZ-B	NRZ-B
NRZ-C	NRZ-C
NS	NS
NS-A	NS-A
NS-B	NS-B
NS-C	NS-C
NSA	NSA
NSA-A	NSA-A
NSC	NSC
NSC.W	NSC.W
NSCO	NSCO
NSL	NSL
NSP	NSP
NSS	NSS
NTB	NTB
NTCO	NTCO
NTEST.I	NTEST.I
NTEST.J	NTEST.J
NTEST.K	NTEST.K
NTG	NTG
NTP	NTP
NTR	NTR
NTZ	NTZ
NUE	NUE
NUM	NUM
NUO	NUO
NUS	NUS
NUV	NUV
NUW	NUW
NVG	NVG
NVGS	NVGS
NVO	NVO
NVR	NVR
NVRO	NVRO
NVS	NVS
NVST	NVST
NVT	NVT
NVTA	NVTA
NWE	NWE
NWHM	NWHM
NWN	NWN
NX	NX
NXC	NXC
NXJ	NXJ
NXN	NXN
NXP	NXP
NXQ	NXQ
NXR	NXR
NXRT	NXRT
NYC-A	NYC-A
NYC-U	NYC-U
NYCB	NYCB
NYT	NYT
NYV	NYV
NZF	NZF
O	O
OAC	OAC
OAC.U	OAC.U
OAC.W	OAC.W
OAK-A	OAK-A
OAK-B	OAK-B
OC	OC
OCFT	OCFT
OCN	OCN
ODC	ODC
OEC	OEC
OFC	OFC
OFG	OFG
OFG-A	OFG-A
OFG-B	OFG-B
OFG-D	OFG-D
OGE	OGE
OGS	OGS
OHI	OHI
OI	OI
OIA	OIA
OIB.C	OIB.C
OII	OII
OIS	OIS
OKE	OKE
OLN	OLN
OLP	OLP
OMC	OMC
OMF	OMF
OMI	OMI
ONDK	ONDK
ONE	ONE
ONTO	ONTO
OOMA	OOMA
OPP	OPP
OPY	OPY
OR	OR
ORA	ORA
ORAN	ORAN
ORC	ORC
ORCC	ORCC
ORCL	ORCL
ORI	ORI
ORN	ORN
OSB	OSB
OSG	OSG
OSK	OSK
OTIS	OTIS
OUT	OUT
OVV	OVV
OXM	OXM
OXY	OXY
PAA	PAA
PAC	PAC
PAC.W	PAC.W
PACD	PACD
PACK	PACK
PAG	PAG
PAGP	PAGP
PAGS	PAGS
PAI	PAI
PAM	PAM
PANW	PANW
PAR	PAR
PARR	PARR
PAYC	PAYC
PB	PB
PBA	PBA
PBB	PBB
PBC	PBC
PBF	PBF
PBFX	PBFX
PBH	PBH
PBI	PBI
PBI-B	PBI-B
PBR	PBR
PBR.A	PBR.A
PBT	PBT
PBY	PBY
PCF	PCF
PCG	PCG
PCI	PCI
PCK	PCK
PCM	PCM
PCN	PCN
PCP.U	PCP.U
PCPL	PCPL
PCQ	PCQ
PD	PD
PDI	PDI
PDM	PDM
PDS	PDS
PDT	PDT
PE	PE
PEAK	PEAK
PEB	PEB
PEB-C	PEB-C
PEB-D	PEB-D
PEB-E	PEB-E
PEB-F	PEB-F
PEG	PEG
PEI	PEI
PEI-B	PEI-B
PEI-C	PEI-C
PEI-D	PEI-D
PEN	PEN
PEO	PEO
PER	PER
PFD	PFD
PFE	PFE
PFGC	PFGC
PFL	PFL
PFN	PFN
PFO	PFO
PFS	PFS
PFSI	PFSI
PG	PG
PGP	PGP
PGR	PGR
PGRE	PGRE
PGTI	PGTI
PGZ	PGZ
PH	PH
PHD	PHD
PHG	PHG
PHI	PHI
PHK	PHK
PHM	PHM
PHR	PHR
PHT	PHT
PHX	PHX
PIC	PIC
PIC.U	PIC.U
PIC.W	PIC.W
PII	PII
PIM	PIM
PINE	PINE
PING	PING
PINS	PINS
PIPR	PIPR
PJH	PJH
PJT	PJT
PK	PK
PKE	PKE
PKG	PKG
PKI	PKI
PKO	PKO
PKX	PKX
PLAN	PLAN
PLD	PLD
PLNT	PLNT
PLOW	PLOW
PLT	PLT
PLYM	PLYM
PM	PM
PMF	PMF
PML	PML
PMM	PMM
PMO	PMO
PMT	PMT
PMT-A	PMT-A
PMT-B	PMT-B
PMX	PMX
PNC	PNC
PNC-P	PNC-P
PNC-Q	PNC-Q
PNF	PNF
PNI	PNI
PNM	PNM
PNR	PNR
PNW	PNW
POL	POL
POR	POR
POST	POST
PPG	PPG
PPL	PPL
PPR	PPR
PPT	PPT
PPX	PPX
PQG	PQG
PRA	PRA
PRE-F	PRE-F
PRE-G	PRE-G
PRE-H	PRE-H
PRE-I	PRE-I
PRGO	PRGO
PRH	PRH
PRI	PRI
PRI-A	PRI-A
PRI-B	PRI-B
PRI-C	PRI-C
PRI-D	PRI-D
PRI-E	PRI-E
PRI-F	PRI-F
PRLB	PRLB
PRMW	PRMW
PRO	PRO
PROS	PROS
PRS	PRS
PRSP	PRSP
PRT	PRT
PRTY	PRTY
PRU	PRU
PSA	PSA
PSA-B	PSA-B
PSA-C	PSA-C
PSA-D	PSA-D
PSA-E	PSA-E
PSA-F	PSA-F
PSA-G	PSA-G
PSA-H	PSA-H
PSA-I	PSA-I
PSA-J	PSA-J
PSA-K	PSA-K
PSA-L	PSA-L
PSA-V	PSA-V
PSA-W	PSA-W
PSA-X	PSA-X
PSB	PSB
PSB-W	PSB-W
PSB-X	PSB-X
PSB-Y	PSB-Y
PSB-Z	PSB-Z
PSF	PSF
PSN	PSN
PSO	PSO
PSTG	PSTG
PSTL	PSTL
PSV	PSV
PSX	PSX
PSXP	PSXP
PTR	PTR
PTY	PTY
PUK	PUK
PUK-A	PUK-A
PUK.P	PUK.P
PUMP	PUMP
PVG	PVG
PVH	PVH
PVL	PVL
PWR	PWR
PXD	PXD
PYN	PYN
PYS	PYS
PYT	PYT
PYX	PYX
PZC	PZC
PZN	PZN
QD	QD
QEP	QEP
QES	QES
QGEN	QGEN
QSR	QSR
QTS	QTS
QTS-A	QTS-A
QTS-B	QTS-B
QTWO	QTWO
QUAD	QUAD
QUOT	QUOT
QVCC	QVCC
QVCD	QVCD
R	R
RA	RA
RACE	RACE
RAD	RAD
RAMP	RAMP
RBA	RBA
RBC	RBC
RBS	RBS
RC	RC
RCA	RCA
RCB	RCB
RCI	RCI
RCL	RCL
RCP	RCP
RCS	RCS
RCUS	RCUS
RDN	RDN
RDS.A	RDS.A
RDS.B	RDS.B
RDY	RDY
RE	RE
RELX	RELX
RENN	RENN
RES	RES
RESI	RESI
REV	REV
REVG	REVG
REX	REX
REX-A	REX-A
REX-B	REX-B
REX-C	REX-C
REXR	REXR
REZI	REZI
RF	RF
RF-A	RF-A
RF-B	RF-B
RF-C	RF-C
RFI	RFI
RFL	RFL
RFM	RFM
RFP	RFP
RGA	RGA
RGR	RGR
RGS	RGS
RGT	RGT
RH	RH
RHI	RHI
RHP	RHP
RIG	RIG
RIO	RIO
RIV	RIV
RJF	RJF
RL	RL
RLGY	RLGY
RLH	RLH
RLI	RLI
RLJ	RLJ
RLJ-A	RLJ-A
RM	RM
RMAX	RMAX
RMD	RMD
RMED	RMED
RMG	RMG
RMG.U	RMG.U
RMG.W	RMG.W
RMI	RMI
RMM	RMM
RMP.P	RMP.P
RMT	RMT
RNG	RNG
RNGR	RNGR
RNP	RNP
RNR	RNR
RNR-E	RNR-E
RNR-F	RNR-F
ROG	ROG
ROK	ROK
ROL	ROL
ROP	ROP
ROYT	ROYT
RPAI	RPAI
RPL.U	RPL.U
RPL.W	RPL.W
RPLA	RPLA
RPM	RPM
RPT	RPT
RPT-D	RPT-D
RQI	RQI
RRC	RRC
RRD	RRD
RS	RS
RSF	RSF
RSG	RSG
RST	RST
RTW	RTW
RTX	RTX
RUBI	RUBI
RVI	RVI
RVLV	RVLV
RVT	RVT
RWT	RWT
RXN	RXN
RY	RY
RY-T	RY-T
RYAM	RYAM
RYB	RYB
RYCE	RYCE
RYI	RYI
RYN	RYN
RZA	RZA
RZB	RZB
SA	SA
SAF	SAF
SAFE	SAFE
SAH	SAH
SAIC	SAIC
SAIL	SAIL
SALT	SALT
SAM	SAM
SAN	SAN
SAN-B	SAN-B
SAND	SAND
SAP	SAP
SAR	SAR
SAVE	SAVE
SB	SB
SB-C	SB-C
SB-D	SB-D
SBBA	SBBA
SBE	SBE
SBE.U	SBE.U
SBE.W	SBE.W
SBH	SBH
SBI	SBI
SBOW	SBOW
SBR	SBR
SBS	SBS
SBSW	SBSW
SC	SC
SCA	SCA
SCCO	SCCO
SCD	SCD
SCE-G	SCE-G
SCE-H	SCE-H
SCE-J	SCE-J
SCE-K	SCE-K
SCE-L	SCE-L
SCH-C	SCH-C
SCH-D	SCH-D
SCHW	SCHW
SCI	SCI
SCL	SCL
SCM	SCM
SCP.U	SCP.U
SCP.W	SCP.W
SCPE	SCPE
SCS	SCS
SCU	SCU
SCV.U	SCV.U
SCV.W	SCV.W
SCVX	SCVX
SCX	SCX
SD	SD
SDRL	SDRL
SE	SE
SEAS	SEAS
SEE	SEE
SEM	SEM
SERV	SERV
SF	SF
SF-A	SF-A
SF-B	SF-B
SF-C	SF-C
SFB	SFB
SFE	SFE
SFL	SFL
SFT.U	SFT.U
SFT.W	SFT.W
SFTW	SFTW
SFUN	SFUN
SGU	SGU
SHAK	SHAK
SHG	SHG
SHI	SHI
SHL.U	SHL.U
SHL.W	SHL.W
SHLL	SHLL
SHLX	SHLX
SHO	SHO
SHO-E	SHO-E
SHO-F	SHO-F
SHOP	SHOP
SHW	SHW
SI	SI
SID	SID
SIG	SIG
SII	SII
SIT-A	SIT-A
SIT-K	SIT-K
SITC	SITC
SITE	SITE
SIX	SIX
SJI	SJI
SJIJ	SJIJ
SJIU	SJIU
SJM	SJM
SJR	SJR
SJT	SJT
SJW	SJW
SKM	SKM
SKT	SKT
SKX	SKX
SKY	SKY
SLB	SLB
SLCA	SLCA
SLF	SLF
SLG	SLG
SLG-I	SLG-I
SLQT	SLQT
SM	SM
SMAR	SMAR
SMFG	SMFG
SMG	SMG
SMHI	SMHI
SMLP	SMLP
SMM	SMM
SMP	SMP
SNA	SNA
SNAP	SNAP
SNDR	SNDR
SNE	SNE
SNN	SNN
SNP	SNP
SNR	SNR
SNV	SNV
SNV-D	SNV-D
SNV-E	SNV-E
SNX	SNX
SO	SO
SOA.U	SOA.U
SOA.W	SOA.W
SOGO	SOGO
SOI	SOI
SOJA	SOJA
SOJB	SOJB
SOJC	SOJC
SOJD	SOJD
SOL	SOL
SOLN	SOLN
SON	SON
SOR	SOR
SPA.U	SPA.U
SPA.W	SPA.W
SPAQ	SPAQ
SPB	SPB
SPCE	SPCE
SPE	SPE
SPE-B	SPE-B
SPG	SPG
SPG-J	SPG-J
SPGI	SPGI
SPH	SPH
SPL-A	SPL-A
SPLP	SPLP
SPN	SPN
SPOT	SPOT
SPR	SPR
SPXC	SPXC
SPXX	SPXX
SQ	SQ
SQM	SQM
SQNS	SQNS
SR	SR
SR-A	SR-A
SRC	SRC
SRC-A	SRC-A
SRE	SRE
SRE-A	SRE-A
SRE-B	SRE-B
SREA	SREA
SRG	SRG
SRG-A	SRG-A
SRI	SRI
SRL	SRL
SRLP	SRLP
SRT	SRT
SRV	SRV
SSD	SSD
SSL	SSL
SSTK	SSTK
ST	ST
STA-C	STA-C
STA-D	STA-D
STA-G	STA-G
STA-I	STA-I
STAG	STAG
STAR	STAR
STC	STC
STE	STE
STG	STG
STK	STK
STL	STL
STL-A	STL-A
STM	STM
STN	STN
STNG	STNG
STON	STON
STOR	STOR
STT	STT
STT-D	STT-D
STT-G	STT-G
STWD	STWD
STZ	STZ
STZ.B	STZ.B
SU	SU
SUI	SUI
SUM	SUM
SUN	SUN
SUP	SUP
SUPV	SUPV
SUZ	SUZ
SWCH	SWCH
SWI	SWI
SWK	SWK
SWM	SWM
SWN	SWN
SWT	SWT
SWX	SWX
SWZ	SWZ
SXC	SXC
SXI	SXI
SXT	SXT
SYF	SYF
SYF-A	SYF-A
SYK	SYK
SYX	SYX
SYY	SYY
SZC	SZC
T	T
T-A	T-A
T-C	T-C
TAC	TAC
TAK	TAK
TAL	TAL
TALO	TALO
TAP	TAP
TAP.A	TAP.A
TARO	TARO
TBB	TBB
TBC	TBC
TBI	TBI
TCI	TCI
TCO	TCO
TCO-J	TCO-J
TCO-K	TCO-K
TCP	TCP
TCRW	TCRW
TCRZ	TCRZ
TCS	TCS
TD	TD
TDA	TDA
TDC	TDC
TDE	TDE
TDF	TDF
TDG	TDG
TDI	TDI
TDJ	TDJ
TDOC	TDOC
TDS	TDS
TDW	TDW
TDW.A	TDW.A
TDW.B	TDW.B
TDY	TDY
TEAF	TEAF
TECK	TECK
TEF	TEF
TEI	TEI
TEL	TEL
TEN	TEN
TEO	TEO
TEVA	TEVA
TEX	TEX
TFC	TFC
TFC-F	TFC-F
TFC-G	TFC-G
TFC-H	TFC-H
TFC-I	TFC-I
TFC-O	TFC-O
TFII	TFII
TFX	TFX
TG	TG
TGH	TGH
TGI	TGI
TGNA	TGNA
TGP	TGP
TGP-A	TGP-A
TGP-B	TGP-B
TGS	TGS
TGT	TGT
THC	THC
THG	THG
THGA	THGA
THO	THO
THQ	THQ
THR	THR
THS	THS
THW	THW
TIF	TIF
TISI	TISI
TJX	TJX
TK	TK
TKC	TKC
TKR	TKR
TLI	TLI
TLK	TLK
TLRD	TLRD
TLYS	TLYS
TM	TM
TME	TME
TMHC	TMHC
TMO	TMO
TMST	TMST
TNC	TNC
TNET	TNET
TNK	TNK
TNP	TNP
TNP-C	TNP-C
TNP-D	TNP-D
TNP-E	TNP-E
TNP-F	TNP-F
TOL	TOL
TOT	TOT
TPB	TPB
TPC	TPC
TPH	TPH
TPL	TPL
TPR	TPR
TPRE	TPRE
TPVG	TPVG
TPVY	TPVY
TPX	TPX
TPZ	TPZ
TR	TR
TRC	TRC
TREC	TREC
TREX	TREX
TRGP	TRGP
TRI	TRI
TRN	TRN
TRN.U	TRN.U
TRN.W	TRN.W
TRNE	TRNE
TRNO	TRNO
TROX	TROX
TRP	TRP
TRQ	TRQ
TRT-A	TRT-A
TRT-B	TRT-B
TRT-C	TRT-C
TRT-D	TRT-D
TRTN	TRTN
TRTX	TRTX
TRU	TRU
TRV	TRV
TRWH	TRWH
TS	TS
TSE	TSE
TSI	TSI
TSLX	TSLX
TSM	TSM
TSN	TSN
TSQ	TSQ
TSU	TSU
TT	TT
TTC	TTC
TTI	TTI
TTM	TTM
TTP	TTP
TU	TU
TUFN	TUFN
TUP	TUP
TV	TV
TVC	TVC
TVE	TVE
TWI	TWI
TWLO	TWLO
TWN	TWN
TWO	TWO
TWO-A	TWO-A
TWO-B	TWO-B
TWO-C	TWO-C
TWO-D	TWO-D
TWO-E	TWO-E
TWTR	TWTR
TX	TX
TXT	TXT
TY	TY
TY.P	TY.P
TYG	TYG
TYL	TYL
UA	UA
UAA	UAA
UAN	UAN
UBA	UBA
UBER	UBER
UBP	UBP
UBP-H	UBP-H
UBP-K	UBP-K
UBS	UBS
UDR	UDR
UE	UE
UFI	UFI
UFS	UFS
UGI	UGI
UGP	UGP
UHS	UHS
UHT	UHT
UI	UI
UIS	UIS
UL	UL
UMC	UMC
UMH	UMH
UMH-B	UMH-B
UMH-C	UMH-C
UMH-D	UMH-D
UN	UN
UNF	UNF
UNFI	UNFI
UNH	UNH
UNM	UNM
UNMA	UNMA
UNP	UNP
UNVR	UNVR
UPS	UPS
URI	URI
USA	USA
USAC	USAC
USB	USB
USB-A	USB-A
USB-H	USB-H
USB-M	USB-M
USB-O	USB-O
USB-P	USB-P
USDP	USDP
USFD	USFD
USM	USM
USNA	USNA
USPH	USPH
USX	USX
UTF	UTF
UTI	UTI
UTL	UTL
UVE	UVE
UVV	UVV
UZA	UZA
UZB	UZB
UZC	UZC
V	V
VAC	VAC
VAL	VAL
VALE	VALE
VAM	VAM
VAPO	VAPO
VAR	VAR
VBF	VBF
VCIF	VCIF
VCRA	VCRA
VCV	VCV
VEC	VEC
VEDL	VEDL
VEEV	VEEV
VEL	VEL
VER	VER
VER-F	VER-F
VER.U	VER.U
VET	VET
VFC	VFC
VGI	VGI
VGM	VGM
VGR	VGR
VHI	VHI
VICI	VICI
VIPS	VIPS
VIST	VIST
VIV	VIV
VJET	VJET
VKQ	VKQ
VLO	VLO
VLRS	VLRS
VLT	VLT
VMC	VMC
VMI	VMI
VMO	VMO
VMW	VMW
VNCE	VNCE
VNE	VNE
VNO	VNO
VNO-K	VNO-K
VNO-L	VNO-L
VNO-M	VNO-M
VNTR	VNTR
VOC	VOC
VOY-B	VOY-B
VOYA	VOYA
VPG	VPG
VPV	VPV
VRS	VRS
VRT	VRT
VRT.W	VRT.W
VRTV	VRTV
VSH	VSH
VSLR	VSLR
VST	VST
VST.A	VST.A
VSTO	VSTO
VTA	VTA
VTN	VTN
VTOL	VTOL
VTR	VTR
VVI	VVI
VVN.W	VVN.W
VVNT	VVNT
VVR	VVR
VVV	VVV
VZ	VZ
W	W
WAB	WAB
WAL	WAL
WALA	WALA
WAT	WAT
WBAI	WBAI
WBK	WBK
WBS	WBS
WBS-F	WBS-F
WBT	WBT
WCC	WCC
WCC-A	WCC-A
WCN	WCN
WD	WD
WDR	WDR
WEA	WEA
WEC	WEC
WEI	WEI
WELL	WELL
WES	WES
WEX	WEX
WF	WF
WFC	WFC
WFC-L	WFC-L
WFC-N	WFC-N
WFC-O	WFC-O
WFC-P	WFC-P
WFC-Q	WFC-Q
WFC-R	WFC-R
WFC-T	WFC-T
WFC-V	WFC-V
WFC-W	WFC-W
WFC-X	WFC-X
WFC-Y	WFC-Y
WFC-Z	WFC-Z
WGO	WGO
WH	WH
WHD	WHD
WHG	WHG
WHR	WHR
WIA	WIA
WIT	WIT
WIW	WIW
WK	WK
WLK	WLK
WLKP	WLKP
WLL	WLL
WM	WM
WMB	WMB
WMC	WMC
WMK	WMK
WMS	WMS
WMT	WMT
WNC	WNC
WNS	WNS
WOR	WOR
WORK	WORK
WOW	WOW
WPC	WPC
WPF.U	WPF.U
WPG	WPG
WPG-H	WPG-H
WPG-I	WPG-I
WPM	WPM
WPP	WPP
WPX	WPX
WRB	WRB
WRB-B	WRB-B
WRB-C	WRB-C
WRB-D	WRB-D
WRB-E	WRB-E
WRB-F	WRB-F
WRE	WRE
WRI	WRI
WRK	WRK
WSM	WSM
WSO	WSO
WSO.B	WSO.B
WSR	WSR
WST	WST
WTI	WTI
WTM	WTM
WTRG	WTRG
WTRU	WTRU
WTS	WTS
WTTR	WTTR
WU	WU
WUBA	WUBA
WWE	WWE
WWW	WWW
WY	WY
WYND	WYND
X	X
XAN	XAN
XAN-C	XAN-C
XEC	XEC
XFLT	XFLT
XHR	XHR
XIN	XIN
XOM	XOM
XPO	XPO
XRF	XRF
XRX	XRX
XYF	XYF
XYL	XYL
Y	Y
YELP	YELP
YETI	YETI
YEXT	YEXT
YPF	YPF
YRD	YRD
YUM	YUM
YUMC	YUMC
ZBH	ZBH
ZEN	ZEN
ZNH	ZNH
ZTO	ZTO
ZTR	ZTR
ZTS	ZTS
ZUO	ZUO
ZYME	ZYME
