value	label
BF.A	BF.A
BF.B	BF.B
BFAM	BFAM
BFK	BFK
BFO	BFO
BFS	BFS
BFS-D	BFS-D
BFS-E	BFS-E
BFY	BFY
BFZ	BFZ
BG	BG
BGB	BGB
BGG	BGG
BGH	BGH
BGIO	BGIO
BGR	BGR
BGS	BGS
BGSF	BGSF
BGT	BGT
BGX	BGX
BGY	BGY
BH	BH
BH.A	BH.A
BHC	BHC
BHE	BHE
BHK	BHK
BHLB	BHLB
BHP	BHP
BHR	BHR
BHR-B	BHR-B
BHR-D	BHR-D
BHV	BHV
BHVN	BHVN
BIF	BIF
BIG	BIG
BILL	BILL
BIO	BIO
BIO.B	BIO.B
BIP	BIP
BIPC	BIPC
BIT	BIT
BITA	BITA
BJ	BJ
BK	BK
BK-C	BK-C
BKD	BKD
BKE	BKE
BKH	BKH
BKI	BKI
BKK	BKK
BKN	BKN
BKR	BKR
BKT	BKT
BKU	BKU
BLD	BLD
BLE	BLE
BLK	BLK
BLL	BLL
BLW	BLW
BLX	BLX
BMA	BMA
BME	BME
BMEZ	BMEZ
BMI	BMI
BML-G	BML-G
BML-H	BML-H
BML-J	BML-J
BML-L	BML-L
BMO	BMO
BMR.U	BMR.U
BMR.W	BMR.W
BMRG	BMRG
BMY	BMY
BMY.P	BMY.P
BNED	BNED
BNS	BNS
BNY	BNY
BOE	BOE
BOH	BOH
BOOT	BOOT
BORR	BORR
BOX	BOX
BP	BP
BPMP	BPMP
BPT	BPT
BQH	BQH
BR	BR
BRBR	BRBR
BRC	BRC
BRFS	BRFS
BRK.A	BRK.A
BRK.B	BRK.B
BRMK	BRMK
BRO	BRO
BRT	BRT
BRX	BRX
BSA	BSA
BSAC	BSAC
BSBR	BSBR
BSD	BSD
BSE	BSE
BSIG	BSIG
BSL	BSL
BSM	BSM
BSMX	BSMX
BST	BST
BSTZ	BSTZ
BSX	BSX
BSX-A	BSX-A
BTA	BTA
BTE	BTE
BTI	BTI
BTO	BTO
BTT	BTT
BTU	BTU
BTZ	BTZ
BUD	BUD
BUI	BUI
BURL	BURL
BV	BV
BVN	BVN
BW	BW
BWA	BWA
BWG	BWG
BWXT	BWXT
BX	BX
BXC	BXC
